Date,Mortgage Rate,Interest Rate
1957-06-01,6.85,0.0
1957-07-01,6.85,0.0
1957-08-01,6.9,0.0
1957-09-01,7.0,0.0
1957-10-01,7.0,0.0
1957-11-01,7.0,0.0
1957-12-01,6.95,0.0
1958-01-01,6.95,0.0
1958-02-01,6.9,0.0
1958-03-01,6.8,0.0
1958-04-01,6.75,0.0
1958-05-01,6.75,0.0
1958-06-01,6.75,0.0
1958-07-01,6.75,0.0
1958-08-01,6.75,0.0
1958-09-01,6.75,0.0
1958-10-01,6.8,0.0
1958-11-01,6.8,0.0
1958-12-01,6.8,0.0
1959-01-01,6.85,0.0
1959-02-01,6.85,0.0
1959-03-01,6.85,0.0
1959-04-01,6.8,0.0
1959-05-01,6.8,0.0
1959-06-01,6.85,0.0
1959-07-01,6.85,0.0
1959-08-01,6.95,0.0
1959-09-01,7.2,0.0
1959-10-01,7.2,0.0
1959-11-01,7.25,0.0
1959-12-01,7.25,0.0
1960-01-01,7.3,4.91
1960-02-01,7.3,4.87
1960-03-01,7.3,3.66
1960-04-01,7.3,3.75
1960-05-01,7.25,3.24
1960-06-01,7.25,3.32
1960-07-01,7.15,3.44
1960-08-01,7.15,2.5
1960-09-01,7.1,1.93
1960-10-01,7.0,3.12
1960-11-01,7.0,4.02
1960-12-01,7.0,3.71
1961-01-01,7.0,3.47
1961-02-01,7.0,3.11
1961-03-01,7.0,3.46
1961-04-01,7.0,3.57
1961-05-01,7.0,3.42
1961-06-01,7.0,2.8
1961-07-01,7.0,2.88
1961-08-01,7.0,2.76
1961-09-01,7.0,2.67
1961-10-01,7.0,2.74
1961-11-01,7.0,2.67
1961-12-01,7.0,3.18
1962-01-01,7.0,3.35
1962-02-01,7.0,3.42
1962-03-01,7.0,3.35
1962-04-01,6.9,3.35
1962-05-01,6.8,3.75
1962-06-01,6.95,6.0
1962-07-01,7.0,6.0
1962-08-01,7.0,6.0
1962-09-01,7.0,5.5
1962-10-01,7.0,5.0
1962-11-01,7.0,4.0
1962-12-01,7.0,4.0
1963-01-01,7.0,4.0
1963-02-01,7.0,4.0
1963-03-01,7.0,4.0
1963-04-01,6.94,4.0
1963-05-01,6.91,3.5
1963-06-01,6.91,3.5
1963-07-01,6.91,3.5
1963-08-01,7.0,4.0
1963-09-01,7.0,4.0
1963-10-01,7.0,4.0
1963-11-01,7.0,4.0
1963-12-01,7.0,4.0
1964-01-01,7.0,4.0
1964-02-01,7.0,4.0
1964-03-01,7.0,4.0
1964-04-01,6.95,4.0
1964-05-01,6.88,4.0
1964-06-01,6.88,4.0
1964-07-01,6.88,4.0
1964-08-01,7.0,4.0
1964-09-01,7.0,4.0
1964-10-01,7.0,4.0
1964-11-01,7.0,4.25
1964-12-01,7.0,4.25
1965-01-01,6.9,4.25
1965-02-01,6.85,4.25
1965-03-01,6.82,4.25
1965-04-01,6.82,4.25
1965-05-01,6.83,4.25
1965-06-01,6.83,4.25
1965-07-01,7.02,4.25
1965-08-01,7.13,4.25
1965-09-01,7.15,4.25
1965-10-01,7.25,4.25
1965-11-01,7.29,4.25
1965-12-01,7.4,4.75
1966-01-01,7.38,4.75
1966-02-01,7.45,4.75
1966-03-01,7.46,5.25
1966-04-01,7.48,5.25
1966-05-01,7.51,5.25
1966-06-01,7.57,5.25
1966-07-01,7.68,5.25
1966-08-01,7.8,5.25
1966-09-01,7.84,5.25
1966-10-01,7.87,5.25
1966-11-01,7.91,5.25
1966-12-01,7.95,5.25
1967-01-01,7.93,5.25
1967-02-01,7.89,5.0
1967-03-01,7.83,5.0
1967-04-01,7.8,4.5
1967-05-01,7.77,4.5
1967-06-01,7.88,4.5
1967-07-01,8.02,4.5
1967-08-01,8.05,4.5
1967-09-01,8.1,5.0
1967-10-01,8.49,5.0
1967-11-01,8.52,6.0
1967-12-01,8.52,6.0
1968-01-01,8.83,7.0
1968-02-01,8.84,7.0
1968-03-01,8.96,7.5
1968-04-01,9.2,7.5
1968-05-01,9.23,7.5
1968-06-01,9.18,7.5
1968-07-01,9.14,6.5
1968-08-01,9.12,6.5
1968-09-01,9.03,6.0
1968-10-01,9.01,6.0
1968-11-01,9.09,6.0
1968-12-01,9.1,6.5
1969-01-01,9.45,6.5
1969-02-01,9.45,6.5
1969-03-01,9.48,7.0
1969-04-01,9.52,7.0
1969-05-01,9.46,7.0
1969-06-01,9.69,7.5
1969-07-01,9.9,8.0
1969-08-01,9.99,8.0
1969-09-01,10.11,8.0
1969-10-01,10.21,8.0
1969-11-01,10.3,8.0
1969-12-01,10.5,8.0
1970-01-01,10.58,8.0
1970-02-01,10.54,8.0
1970-03-01,10.58,8.0
1970-04-01,10.6,8.0
1970-05-01,10.58,7.5
1970-06-01,10.53,7.0
1970-07-01,10.38,7.0
1970-08-01,10.4,7.0
1970-09-01,10.36,6.5
1970-10-01,10.35,6.5
1970-11-01,10.28,6.0
1970-12-01,10.16,6.0
1971-01-01,9.94,6.0
1971-02-01,9.72,5.25
1971-03-01,9.28,5.25
1971-04-01,9.2,5.25
1971-05-01,9.25,5.25
1971-06-01,9.34,5.25
1971-07-01,9.46,5.25
1971-08-01,9.53,5.25
1971-09-01,9.55,5.25
1971-10-01,9.55,4.75
1971-11-01,9.26,4.75
1971-12-01,9.1,4.75
1972-01-01,9.04,4.75
1972-02-01,8.93,4.75
1972-03-01,8.97,4.75
1972-04-01,9.03,4.75
1972-05-01,9.16,4.75
1972-06-01,9.37,4.75
1972-07-01,9.41,4.75
1972-08-01,9.41,4.75
1972-09-01,9.38,4.75
1972-10-01,9.35,4.75
1972-11-01,9.3,4.75
1972-12-01,9.22,4.75
1973-01-01,9.09,4.75
1973-02-01,9.02,4.75
1973-03-01,9.07,4.75
1973-04-01,9.15,5.25
1973-05-01,9.3,5.75
1973-06-01,9.52,6.25
1973-07-01,9.71,6.25
1973-08-01,9.91,6.75
1973-09-01,10.13,7.25
1973-10-01,10.13,7.25
1973-11-01,10.08,7.25
1973-12-01,10.02,7.25
1974-01-01,10.02,7.25
1974-02-01,10.01,7.25
1974-03-01,10.04,7.25
1974-04-01,10.7,8.25
1974-05-01,11.26,8.75
1974-06-01,11.37,8.75
1974-07-01,11.6,9.25
1974-08-01,11.85,9.25
1974-09-01,12.05,9.25
1974-10-01,12.05,9.25
1974-11-01,12.0,8.75
1974-12-01,11.88,8.75
1975-01-01,11.81,8.25
1975-02-01,10.95,8.25
1975-03-01,10.65,8.25
1975-04-01,10.67,8.25
1975-05-01,10.99,8.25
1975-06-01,11.23,8.25
1975-07-01,11.35,8.25
1975-08-01,11.52,8.25
1975-09-01,11.94,9.0
1975-10-01,12.15,9.0
1975-11-01,11.97,9.0
1975-12-01,11.89,9.0
1976-01-01,11.84,9.0
1976-02-01,11.8,9.0
1976-03-01,11.9,9.5
1976-04-01,12.03,9.5
1976-05-01,11.99,9.5
1976-06-01,11.93,9.5
1976-07-01,11.86,9.5
1976-08-01,11.83,9.5
1976-09-01,11.76,9.5
1976-10-01,11.6,9.5
1976-11-01,11.56,9.0
1976-12-01,11.27,8.5
1977-01-01,10.75,8.5
1977-02-01,10.25,8.0
1977-03-01,10.25,8.0
1977-04-01,10.25,8.0
1977-05-01,10.38,7.5
1977-06-01,10.35,7.5
1977-07-01,10.4,7.5
1977-08-01,10.33,7.5
1977-09-01,10.32,7.5
1977-10-01,10.34,7.5
1977-11-01,10.34,7.5
1977-12-01,10.33,7.5
1978-01-01,10.32,7.5
1978-02-01,10.31,7.5
1978-03-01,10.33,8.0
1978-04-01,10.42,8.5
1978-05-01,10.43,8.5
1978-06-01,10.32,8.5
1978-07-01,10.31,9.0
1978-08-01,10.31,9.0
1978-09-01,10.67,9.5
1978-10-01,10.93,10.25
1978-11-01,11.25,10.75
1978-12-01,11.53,10.75
1979-01-01,11.28,11.25
1979-02-01,11.25,11.25
1979-03-01,11.11,11.25
1979-04-01,11.05,11.25
1979-05-01,11.06,11.25
1979-06-01,11.16,11.25
1979-07-01,11.2,11.75
1979-08-01,11.8,11.75
1979-09-01,12.25,12.25
1979-10-01,13.5,14.0
1979-11-01,14.46,14.0
1979-12-01,13.58,14.0
1980-01-01,13.26,14.0
1980-02-01,13.5,14.0
1980-03-01,14.69,14.79
1980-04-01,16.94,15.67
1980-05-01,13.99,11.83
1980-06-01,12.92,10.67
1980-07-01,13.09,10.18
1980-08-01,13.44,10.45
1980-09-01,14.5,11.02
1980-10-01,14.87,11.76
1980-11-01,15.0,13.06
1980-12-01,15.6,17.26
1981-01-01,15.17,17.0
1981-02-01,15.27,17.14
1981-03-01,15.75,16.59
1981-04-01,16.45,17.4
1981-05-01,17.82,19.06
1981-06-01,18.55,19.07
1981-07-01,18.9,19.89
1981-08-01,21.3,21.03
1981-09-01,21.46,19.63
1981-10-01,20.54,18.3
1981-11-01,18.8,15.4
1981-12-01,17.79,14.66
1982-01-01,18.21,14.72
1982-02-01,18.97,14.74
1982-03-01,19.41,15.11
1982-04-01,19.28,15.32
1982-05-01,19.11,15.32
1982-06-01,19.1,16.58
1982-07-01,19.22,15.6
1982-08-01,18.72,14.26
1982-09-01,17.49,13.18
1982-10-01,16.02,11.53
1982-11-01,14.79,10.87
1982-12-01,14.34,10.26
1983-01-01,14.05,9.81
1983-02-01,13.6,9.43
1983-03-01,13.45,9.42
1983-04-01,13.26,9.46
1983-05-01,13.16,9.38
1983-06-01,12.98,9.42
1983-07-01,13.08,9.51
1983-08-01,13.57,9.57
1983-09-01,13.88,9.52
1983-10-01,13.1,9.45
1983-11-01,12.84,9.63
1983-12-01,12.55,10.04
1984-01-01,12.55,9.98
1984-02-01,12.52,10.04
1984-03-01,12.82,10.76
1984-04-01,13.51,10.82
1984-05-01,14.26,11.6
1984-06-01,14.53,11.98
1984-07-01,14.96,13.24
1984-08-01,14.45,12.39
1984-09-01,13.99,12.28
1984-10-01,13.72,11.71
1984-11-01,13.25,10.78
1984-12-01,12.74,10.16
